from,to,gasPrice,gasUsed,value,timeStamp,label
0x564286362092d8e7936f0549571a803b203aaced,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,2500000000,2201070,1337000000000000000,1557730233,1
0xdc76cd25977e0a5ae17155770273ad58648900d3,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,6000000000,371284,1000000000000000000000,1552048810,1
0xbb748280b6b6510302e13c9bc2067454c781f169,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,6000000000,51289,100000000,1548596283,1
0x039b5649a59967e3e936d7471f9c3700100ee1ab,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,40000000000,1110889,1337000000000000000,1547955256,1
0xbb530108497bd5007b74443119a8de8f33cc98bf,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,6000000000,3383051,99000000000000000000,1545006994,1
0x8fba840decc346a788815d98101906895ded31fc,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,4000000000,5486176,800000000,1544499708,1
0x668f42819a49be08bb8c6ae2516659c473b496c3,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,3000000000,7629075,88000000,1542259647,1
0x58fed907b264f0177c3fcbd76769c873805d6e40,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,10000000000,1364025,5,1540313268,1
0x0000000000000000000000000000000000000000,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,8000000000,1700026,5,1539354743,1
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0x2664c334c46635f7845487d3bab16992fc83a93e,99000000000,38101,1085778669000000000000000000,1536766974,0
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0x2664c334c46635f7845487d3bab16992fc83a93e,99000000000,53101,1085778669000000000000000000,1536766118,0
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0x2664c334c46635f7845487d3bab16992fc83a93e,98000000000,38101,357142857000000000000000000,1536761418,0
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0x2664c334c46635f7845487d3bab16992fc83a93e,98000000000,52845,1000000000000000000,1536761312,0
